,rating,ulasan,label
0,5/5,"Hotel yang sangat strategis di Jalan Malioboro. Karyawan yang ramah. Kamar bersih. Housekeepingnya juga bagus, bersih dan bekerja dengan cepat. Minus : 1. Tidak ada tempat parkir. Sangat terbatas, harus valet, yang dibutuhkan hanya kunci. Membuatnya tidak nyaman.2. Kamar mandinya tidak dilengkapi hand shower. Kalau bawa bayi susah mandinya karena showernya hanya ada di atap. Untuk sarapannya variasinya cukup enak, tapi rasanya sangat kurang. Menurutku itu tidak bagus. Hehehe. Seharusnya lebih baik. Semoga dapat ditingkatkan4. Ruangannya tidak kedap udara. Apalagi jika tarikan kursi dari kamar sebelah sangat jelas. Semoga ada perbaikan. Hotel ini sangat direkomendasikan untuk dicoba. Semoga pelayanan dan kebersihannya tetap terjaga sama atau bahkan lebih baik lagi.",Negatif
1,5/5,"Lokasi teratas. Di sekitar lokasi hotel banyak terdapat toko-toko kecil yang menjual berbagai macam barang. Termasuk minimarket. Ruangan tiap tipe kamar luas, bersih dan wangi. Dispenser air minum disediakan di tipe kamar keluarga. Jadi Anda tidak perlu repot lagi membeli air minum. ??",Positif
2,2/5,"Saya tidak cukup merekomendasikannya. Memesan kamar premier di link Aveta Hotel, tidak mendapat BF. Meskipun ketika kami check in, kami diberitahu bahwa kami memiliki bf gratis. Lewat keesokan harinya bf saya, nomor kamar kami tidak ada di daftar bf alias tidak termasuk bf! Kamar cukup bersih dan semuanya berfungsi dengan baik, hanya beberapa kali listrik padam. Sudah dipastikan, hidup lagi (lampu kelas hotel juga bisa padam) Salah satu fasilitas di kamar kami setengah terbuka. Buang! Apa yang dikatakan menghadap Malioboro memang benar, namun terhalang pepohonan dan tembok. Jadi percuma saja ae. Makan dan minumnya tidak enak. Jadi tidak ada komentar.",Negatif
3,5/5,"Menginap 2 hari 2 malam bersama istri dan anak, puas banget.... nyaman banget, staf ramah baik, puas banget. Harganya juga oke kalau mau lebih murah pesan kamar lewat aplikasi. Restoran ini juga memiliki makanan lezat. Kekurangannya hanya parkirannya sempit tapi parkir tidak ada masalah karena ada security untuk parkir mobil. Tinggalkan saja kunci mobil dengan pengamanan bagi yang parkir sendiri.",Positif
4,2/5,"Saya memberikan ini 2 bintang sebelum saya memasuki ruangan. Karena ruangan akan siap pada jam 3 sore. Hari ini tanggal 13-25 April dan saya menulis pada 12:39. Kekecewaan saya dimulai sebelum melakukan pemesanan. Saya mencoba berkomunikasi melalui WA. Dari bahasa WA pun terkesan agak defensif saat menanyakan masalah early check-in. Early check-in bisa dilakukan paling cepat jam 12 siang dan itu tergantung kesiapan kamar. Oke, saya menerima alasan ini. Dan ketika saya sampai, ternyata keterangannya sudah berubah menjadi jam 3 sore. Lalu kata FD, ada yang check-out jam 12, prosesnya paling lama 1 jam. Jadi aku bilang, kamu boleh masuk jam 1 siang. Dan jawabannya langsung bisa jam 3, siap karena banyak kamar yang check out (bicara) Dan WA sampai sekarang belum direspon... Terima kasih Aveta sudah memberi saya pelajaran.",Negatif
5,4/5,"Lokasinya strategis banget!! Namun jika baru pertama kali kesini harus berhati-hati karena pintu masuk gang di dekat pos wisata cukup kecil. Pelayanannya baik dan ramah, sensitif sekali.. padahal saya bisik-bisik ke suami kalau mau makan, bingung mau cari sendok dimana, dan pelayannya menunjukkan di lemari steril?? Kami juga membantu membawa banyak barang ke kamar menggunakan troli. Makanannya juga enak, nggak ada salahnya!! Hanya ada 1 hal yang hilang. Saya pesan 2 hari tapi di hari ke 2 harus ganti sprei dan pasang papan untuk req. Spreinya ganti tapi gak diganti hehehe tapi gapapa, room servicenya juga rapi & bersih. datang dan dapatkan kue, 2 minuman soda dan makanan ringan gratis ??????? di lantai dasar ada life music dan restooo dan juga ada kolam renang di lantai. 8 dan kebetulan saat saya check in sudah dibersihkan. hotelnya oke",Positif
6,1/5,Pengalaman menginap yang tidak menyenangkan..??Kami menginap pada 5-7 Mei 2025. Toilet shower rusak. Info room servicenya slow respon. Besoknya diperbaiki..Hari kedua mati lampu 30 menit tanpa penjelasan apa-apa..Tolong diperbaiki untuk kedepannya.,Negatif
7,4/5,"Lokasi strategis. Makanan cukup lengkap variasinya, kids friendly, ada cotton candy, popcorn. Pelayanan agak kurang, handuk tidak diganti.. tapi setelah info diganti, baru.. karena saya menginap lebih dari sehari. Dikasih dispenser...",Positif
8,5/5,"Anak saya sangat menikmati menginap di hotel ini, kolam renangnya luas dan ada fasilitas movie roomnya juga. Sangat direkomendasikan untuk liburan bersama keluarga, terima kasih kepada Ibu Danisa yang telah membantu memudahkan kami menginap",Positif
9,5/5,"Terkadang saya bertanya-tanya kenapa tidak banyak orang yang tahu tentang hotel ini... lokasinya tepat di pinggir Jalan Malioboro lho? sebelah mall dan gak mau ke pasar Bringharjo terlalu jauh? Kali kedua kesini, pertama cuma bareng mama, nah aku bawa keluarga besarku dan semuanya happy banget.. kamarnya bersih, rapi juga, banyak pujiannya juga, menu sarapannya juga lengkap dan menunya enak dan nikmat. Tidak adakah yang gagal dari sarapan pertama disini?? Poin plus sebenarnya adalah staf. Secara harfiah semua staf yang kami temui, di departemen mana pun mereka berada, semuanya sangat ramah???? pokoknya super duper senang, hotelnya bikin makin betah liburan ke jogja?????? Pasti akan selalu memilih hotel ini setiap ke Jogja????????? Selain itu, saya sangat bangga masih ada hotel yang bersedia mempekerjakan staf penyandang disabilitas. Di restoran saya bertemu dengan seorang staf yang tidak dapat mendengar tetapi tetap ramah dan tersenyum... keren sekali Aveta????",Positif
10,5/5,"Sangat memuaskan, sarapannya enak, kamarnya juga sangat nyaman. Pelayanannya sangat baik, semua karyawannya sangat ramah, mbak Danisha resepsionis, terima kasih atas bantuannya selama menginap",Positif
11,5/5,Layanan hampir luar biasa. Dari saat Anda tiba sampai Anda pergi. Posisi hotelnya juga sangat bagus. Terakhir didukung penuh oleh Ibu Risa dan Mas Eky saat check out. Terima kasih dan hotel yang sangat direkomendasikan,Positif
